proposed,pearson_cumprod,shape,cumprod,adjusted,pearson
0.13298882681128799,0.11789555075254299,0.1650373818188644,0.18288153023800424,0.17630745147690363,0.1430150797576637
0.16623935713898197,0.13791467210162667,0.15895529536781106,0.1228084624441872,0.12550240361492682,0.1383229865589206
0.1350317579942586,0.1244975733656628,0.1699748631706277,0.13298313067473466,0.14070587509660104,0.12752480982682513
0.1714884638811338,0.1484084721432839,0.13019452680171373,0.13766302599974534,0.15891043954177642,0.13475501168081294
0.162663410636936,0.14059633554225126,0.14446188612238764,0.16915683065596454,0.12966774120312818,0.140191721564757
0.15314753918142388,0.1305962970763348,0.14271457533811827,0.12707286263506767,0.15727874841108158,0.13285441512517515
0.14991846338836545,0.16576576093693873,0.16141605752872645,0.10884531290576449,0.13730232434326983,0.11966859354009829
0.14116296993384747,0.14524212696111483,0.13124974386219335,0.13271849582597084,0.12693669113084805,0.12023726365013654
0.1615923812223874,0.1368225044216096,0.16020236506748353,0.1546016337121756,0.13167967728830954,0.13545115852815837
0.14278235147587193,0.12080126084480947,0.16592280571663376,0.10459806233162827,0.1503330979510311,0.11930256130498451
0.1432279351257555,0.1342133324936854,0.18730765087888024,0.18049523682376578,0.18410877051252972,0.14281722749366166
0.176469947217609,0.14752123103751713,0.18655753993157287,0.1349806304554837,0.1668108259036385,0.14963218254890354
0.10443597894626211,0.11375437655030196,0.1353307553599199,0.15263384104279987,0.14442446896225758,0.13715510810023712
0.15283275579479705,0.12763429854595687,0.1588407911737777,0.12692704078385098,0.15359938924338312,0.09670126086259678
0.11351347439388637,0.1239621283557002,0.1488832594298679,0.14825034306624207,0.15594214501594283,0.1093746745199522
0.19123412199253265,0.18549011776414015,0.1469498052777478,0.14108243535886977,0.15575333938892788,0.17109025245426301
0.16866302887406914,0.1435753017029857,0.16161283965080653,0.06455090698026922,0.1589347719625105,0.13783719451683352
0.16013301002131142,0.1601439747097242,0.14451658906971487,0.11754897686592058,0.16370430018821014,0.16929631952137303
0.1589322125835717,0.13794350581612758,0.10330346094761023,0.15798040017606985,0.11844982266908222,0.10873893790855682
0.1553540807876077,0.14007684181820168,0.15447947220384162,0.1387113169871912,0.1325357263148419,0.13768391620931641
0.12717923989105806,0.08963025274730207,0.21529913003281376,0.15263346817851042,0.1435439775266274,0.12836548565180328
0.16406214337490188,0.13366957083107822,0.16604327772217164,0.1653596398411772,0.13486942869222318,0.1226555371969753
0.13230969678634907,0.12250548599514866,0.1902072738853775,0.1272386289353269,0.14055777566796013,0.1328142324027124
0.16133268282614277,0.1336550437752908,0.18263156153811444,0.12631159714242046,0.1339873983968134,0.12367932675275495
0.16391188292918502,0.1575593087000382,0.16254788843304802,0.15799018621895056,0.15406086202935776,0.13402251795877174
0.16786743715204788,0.12863568698352346,0.1503100304503635,0.1359576188737155,0.15473725993220544,0.1771688259303128
0.12700467718109087,0.09997609276268049,0.17036986490921624,0.14576264433091524,0.15615915981748496,0.14519158673205013
